step,loss
0,0.90065026
100,0.09994199
200,0.03338907
300,0.043561503
400,0.03991958
500,0.03737937
600,0.03060294
700,0.032105234
800,0.030786997
900,0.02399876
1000,0.024679463
1100,0.02449141
1200,0.021597413
1300,0.024312701
1400,0.021226332
1500,0.01664627
1600,0.018039994
1700,0.015903994
1800,0.018401846
1900,0.012236174
2000,0.012903961
2100,0.012104562
2200,0.0108864065
2300,0.014805831
2400,0.013898782
2500,0.014821717
2600,0.011165243
2700,0.012669102
2800,0.011489452
2900,0.009701126
3000,0.008404529
3100,0.0092529
3200,0.0094879465
3300,0.009184457
3400,0.008122493
3500,0.009550092
3600,0.010543268
3700,0.0076263607
3800,0.007880088
3900,0.00680348
4000,0.006768763
4100,0.008639154
4200,0.0073776627
4300,0.006681099
4400,0.006645062
4500,0.00614086
4600,0.0079155415
4700,0.006996476
4800,0.006731628
4900,0.0073159877
5000,0.006739192
5100,0.0060172
5200,0.006371387
5300,0.006096939
5400,0.005774617
5500,0.0060148654
5600,0.0059371544
5700,0.0061557135
